name_owner,pr_id,title,state,review_time,num_reviews,num_caracteres,num_arquivos,num_additions,num_deletions,num_participants,num_comments
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjE1NTU5MDk2, zh-Hans: Update translation,MERGED,20h24m,3,0,1,1,1,4,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjE1NzgzODcz,Update Cassandra architecture links,MERGED,77h17m,4,571,1,2,2,3,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjE3NDQxOTM3,Fix #397: Change master/slave to primary/replica,CLOSED,31228h50m,6,1902,11,33,33,6,5
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjE3NDQ1Nzk2,Resolve #214: Add reference links to message queues section,MERGED,208h22m,1,18,2,4,4,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjIxMTcwNDI4,Update Scalability for Dummies link,MERGED,57h05m,2,0,4,4,4,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjIyOTUwMjE5,ja: Fix typo,MERGED,248h45m,1,304,1,7,7,3,4
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjI0MDg4NTU2,zh-TW: Update index anchors,MERGED,314h06m,2,313,1,20,20,4,4
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjI3NTkyNjU3,Add Link: A 360 Degree View Of The Entire Netflix Stack,MERGED,301h40m,1,56,1,1,1,2,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjMwOTE5MDk4,Proper text formatting,CLOSED,730h43m,1,86,1,7,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjMxMTE3OTk0,Fix #228: Address mutex latency discrepancy,MERGED,809h06m,4,89,4,4,4,3,4
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjMzMzUyMzc5,Add availability in numbers section,MERGED,4040h30m,7,148,1,47,0,5,7
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjMzNDQ4MDQx,--fix: Missing `path` in argument.,CLOSED,3234h34m,2,127,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjQxNDc2NzM0,Add missing word in cache write through discussion,MERGED,155h59m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjQ0NjU2Nzcy,zh-Hans: Fix typo,MERGED,137h22m,2,0,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjQ3NDI5ODA4,Fix grammar in document store section,MERGED,234h15m,1,86,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjUxNzEwMjQ5,Fix typo in Twitter timeline and search solution,MERGED,33h27m,2,0,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjUxNzQ5MTY4,Translate language list,MERGED,2160h12m,1,308,1,1,1,2,4
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjU0Nzk1NzMy,Update document-store to document store,MERGED,182h43m,1,46,1,2,2,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjU3MDk0MzY1,Enable Python syntax highlighting in Pastebin sample code,MERGED,84h50m,1,97,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjU3Njk3NTA3,Fix broken SQL link in Scaling AWS exercise,MERGED,362h11m,1,141,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjcwMjIzOTIw,Enable syntax highlighting in all python code snippets,MERGED,573h38m,1,194,10,30,30,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjczNzY2MDM1,zh-Hans: Translate Pastebin solution,MERGED,1233h49m,8,28,2,331,1,3,6
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjc1NDQ0MzMw,Update HDFS design link to the latest version,MERGED,113h19m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjg5NjM1Nzg5,ja: Fix typo of Big-O notation in KVS section,MERGED,412h48m,1,361,1,1,1,3,3
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjkzMDU1MTk1,Change disk to HDD for clarity,MERGED,9054h31m,4,219,1,3,3,5,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk0OTQ5ODI2,ja: Fix translation in weak consistency section,MERGED,692h02m,2,228,1,2,2,3,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk1Mzk1MTEx,ja: Fix translation in push CDNs section,MERGED,622h21m,2,133,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk1Mzk5Njg4,ja: Fix translation in horizontal scaling section,MERGED,622h10m,2,185,1,1,1,4,3
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk2MjIxMTUz,ja: Fix translation in reverse proxy (web server) section,MERGED,574h54m,2,121,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk2MjI3NTky,ja: Fix translation in Federation section,MERGED,609h03m,2,707,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk4OTgwOTcy,ja: Fix mistranslation in SQL tuning section,MERGED,3443h42m,3,63,1,11,11,3,3
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAwMzY5NzM2,ja: Fix translation in Anki flashcards section,MERGED,511h41m,2,140,1,1,1,3,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAwMzcwMTkz,ja: Fix translation in Load balancer section,MERGED,511h40m,2,240,1,1,1,3,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAwMzcwNjgy,ja: Fix translation in Service Discovery section,MERGED,511h39m,2,297,1,1,1,3,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAxODQ5OTEw,Clarify CDN advantages,MERGED,8334h37m,3,138,1,1,1,4,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzEyOTc4ODQ5,Fix a typo in Layer 7 load balancer of README.md,MERGED,7300h53m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzEyOTkyMzE4,change CN translation to make it more accurate,MERGED,2378h30m,2,76,1,1,1,3,1
