Número,Nome,Estrelas,url,PRs Aprovados ou Fechados
187,jgthms/bulma,47030,https://github.com/jgthms/bulma,953
188,ReactiveX/RxJava,46914,https://github.com/ReactiveX/RxJava,3767
189,swisskyrepo/PayloadsAllTheThings,46889,https://github.com/swisskyrepo/PayloadsAllTheThings,542
190,obsproject/obs-studio,46798,https://github.com/obsproject/obs-studio,5179
191,scrapy/scrapy,46789,https://github.com/scrapy/scrapy,2792
192,caddyserver/caddy,46737,https://github.com/caddyserver/caddy,1924
193,ocornut/imgui,46668,https://github.com/ocornut/imgui,939
194,localstack/localstack,46653,https://github.com/localstack/localstack,3633
195,prakhar1989/awesome-courses,46591,https://github.com/prakhar1989/awesome-courses,249
196,jekyll/jekyll,46440,https://github.com/jekyll/jekyll,4251
197,NARKOZ/hacker-scripts,46383,https://github.com/NARKOZ/hacker-scripts,111
198,Solido/awesome-flutter,46293,https://github.com/Solido/awesome-flutter,858
199,excalidraw/excalidraw,46201,https://github.com/excalidraw/excalidraw,3632
200,wasabeef/awesome-android-ui,46022,https://github.com/wasabeef/awesome-android-ui,215
201,alacritty/alacritty,46000,https://github.com/alacritty/alacritty,1978
202,danielmiessler/SecLists,45895,https://github.com/danielmiessler/SecLists,611
203,git/git,45894,https://github.com/git/git,1142
204,fffaraz/awesome-cpp,45357,https://github.com/fffaraz/awesome-cpp,700
205,prettier/prettier,45299,https://github.com/prettier/prettier,8297
206,yt-dlp/yt-dlp,44909,https://github.com/yt-dlp/yt-dlp,1718
207,juliangarnier/anime,44894,https://github.com/juliangarnier/anime,136
208,Eugeny/tabby,44823,https://github.com/Eugeny/tabby,3429
209,minimaxir/big-list-of-naughty-strings,44721,https://github.com/minimaxir/big-list-of-naughty-strings,123
210,nuxt/nuxt,44688,https://github.com/nuxt/nuxt,3537
212,serverless/serverless,44532,https://github.com/serverless/serverless,5208
